sex,age,weight,height
female,19.5,34.9,148
female,19.58,48.3,149.9
female,20.86,47.7,149.9
female,21.11,48.4,150.5
male,11.57,19.6,121.9
male,12.79,22,125.1
male,13.12,23.2,127.6
female,7.27,13.9,105.4
female,8.49,14.9,109.2
female,8.56,14.9,109.2
female,8.81,15.8,110.2
female,5.11,12.1,92.1
male,11.89,23.6,129.5
male,13.09,25,134.6
male,13.42,26.8,136.2
female,6.59,16,109.2
female,7.79,17.2,117.5
female,19.5,35.5,147.3
female,19.82,34.4,146.7
male,16.27,27.3,137.2
male,17.56,30.8,139.7
male,17.82,31.9,141.6
female,15.27,22.7,125.7
female,16.49,24.2,131.4
female,16.81,26.1,131.7
male,10.27,17.9,114.3
male,11.49,19.2,118.1
female,24.52,37.5,146.1
male,24.5,47.9,160.7
male,24.56,50.9,161.3
female,19.51,49.9,148
female,16.27,28.8,144.8
female,17.98,37.2,148.6
male,7.27,20.4,121.9
male,8.81,24,127.6
female,11.27,23.4,128.9
female,12.81,30.4,137.2
female,5.71,13.3,97.8
female,5.71,13.3,97.8
male,19.57,40,146.7
male,19.81,42.4,146.7
female,17.81,44.7,157.5
male,12.56,22,127
male,14.11,24.3,129.5
male,13.81,24.5,128.3
female,8.56,15.4,110.5
female,9.8,17.1,114.9
female,10.11,18.5,115.2
female,5.4,14.4,104.1
female,5.71,15.2,106
female,20.71,44.1,158.8
female,20.41,50.9,158.8
female,23.5,45.6,145.4
male,13.41,24.6,129.5
female,6.81,15.8,105.4
female,14.59,25.6,129.5
female,14.92,27.4,132.1
female,17.52,40.1,146.1
female,12.42,29.6,146.1
female,23.29,47.3,158.4
female,24.32,49.6,149.9
female,17.82,41.9,148
female,12.19,27.6,137.8
female,22.8,47.2,154.9
male,6.4,17.5,113.7
male,23.19,55.7,179.1
female,13.38,26.1,127
female,8.58,18.8,118.7
female,23.5,42.8,146.1
male,5.81,17.9,113
male,12.82,27.4,134
female,15.19,32.5,148.6
female,16.41,38.7,154.9
male,10.19,17.1,111.1
male,11.41,17.9,116.8
male,6.8,16.5,111.8
female,11.28,18.3,124.5
male,8.28,15.1,111.8
male,9.5,17,115.6
female,7.57,19.4,116.8
female,7.81,21.6,121.3
female,9.11,22.8,123.4
male,5.17,15.1,100.1
male,6.41,16.6,104.1
male,22.52,53.1,163.2
male,15.82,29.3,141.6
male,17.72,38.1,150.5
male,17.46,38.1,149.2
female,12.86,22,129.5
female,23.81,36.9,147.3
female,24.12,38,147.6
female,8.85,19.8,121.9
male,5.45,16.8,113.7
female,12.85,21.2,120.7
male,7.45,18.9,115.6
female,11.82,22.4,125.1
female,24.82,44.3,141.6
female,21.28,42,150.2
female,22.52,43.1,149.2
female,24.42,51.5,155.6
female,6.82,12.8,103.5
female,21.82,44.1,156.2
male,22.52,61.8,172.7
male,19.52,31.5,141.6
female,17.5,32.5,143.5
female,17.52,32.2,142.9
female,14.52,23.8,133.4
male,9.82,24.4,127.6
female,7.42,21.5,119.4
female,18.22,39,149.9
female,6.42,13.1,102.2
male,7.42,18.3,114.3
female,23.52,39.1,138.4
female,17.28,31.1,143.5
female,18.52,32.2,145.4
female,14.71,22.5,131.4
male,19.9,40.6,157.5
male,19.91,44.3,158.1
male,6.6,17.6,108
female,16.8,44.7,148
male,5.4,14.4,101
male,9.4,19.1,113
male,8.82,20.8,123.2
female,17.58,35.6,146.7
female,18.12,38.8,147
female,18.76,42.1,149.2
female,10.69,17.7,110.5
female,11.36,18.8,113
female,10.72,18,110.5
female,15.92,38.3,155.6
female,16.56,41,157.5
female,15.92,38.8,153
female,15.89,40.8,153.7
female,16.87,43.3,158.1
female,12.52,24.4,138
female,13.16,27.8,139.1
female,12.49,27.1,134.6
female,13.47,30.3,141
female,10.6,20.5,114.3
male,11.09,20.9,120.7
male,11.12,21.4,121.9
female,8.09,16,106.7
female,8.77,16.1,106.7
female,9.07,16,109.5
female,24.46,46.7,157.5
female,23.82,46.4,156.2
male,17.12,43.1,158.1
male,17.76,46.4,160
female,5.39,14.1,97.8
female,5.79,15.2,105.4
female,21.46,44.8,146.1
male,15.12,35.4,147.2
male,15.09,35.5,145.4
male,15.76,38.9,146.7
female,12.49,21.5,127
female,12.77,22.8,129.5
female,14.92,24.4,127
female,15.66,26.3,132.7
female,22.12,32.8,142.1
female,21.81,33.5,142.9
female,22.09,35.2,142.1
male,19.37,49.6,162.6
female,17.12,33.8,148
female,17.07,34.6,148.6
female,12.72,21.4,125.4
female,13.36,22.3,127
female,13.67,22.7,127
female,9.07,17.9,114.9
male,16.37,34.8,143.5
female,13.16,26.3,125.1
female,12.51,24.1,118
female,13.47,27.9,128.9
female,5.56,12.7,94.6
female,5.87,13.1,97.2
female,17.36,41.3,148
female,17.67,43.1,148.6
female,15.76,26,132.7
female,15.11,25.3,130.6
female,16.07,26.6,134.6
female,5.67,17.8,108.6
